detection_id,image_name,image_width,image_height,object_class_id,object_class_name,bbox_left,bbox_top,bbox_right,bbox_bottom,confidence
0,1.jpg,1280,720,1013,l_klt_8210,1026.0,6.0,1280.0,258.0,79.4579803943634
1,1.jpg,1280,720,1013,l_klt_8210,1085.0,575.0,1280.0,720.0,87.45582699775696
2,1.jpg,1280,720,1013,l_klt_8210,1069.0,383.0,1280.0,620.0,88.62142562866211
3,1.jpg,1280,720,1013,l_klt_8210,1050.0,215.0,1279.0,475.0,92.85434484481812
4,10.jpg,1280,720,1011,l_klt_4147,835.0,457.0,919.0,477.0,47.604379057884216
5,10.jpg,1280,720,1011,l_klt_4147,862.0,438.0,919.0,458.0,55.47734498977661
6,10.jpg,1280,720,1013,l_klt_8210,834.0,495.0,947.0,525.0,67.00090765953064
7,10.jpg,1280,720,1013,l_klt_8210,563.0,678.0,887.0,720.0,87.61781454086304
8,10.jpg,1280,720,1013,l_klt_8210,836.0,547.0,923.0,583.0,88.3827805519104
9,10.jpg,1280,720,1013,l_klt_8210,835.0,519.0,951.0,555.0,88.39964270591736
10,10.jpg,1280,720,1013,l_klt_8210,566.0,594.0,885.0,715.0,96.5380311012268
11,105.jpg,1280,720,1002,stillage_close,939.0,128.0,1280.0,544.0,48.99476170539856
12,106.jpg,1280,720,1012,l_klt_6147,486.0,431.0,595.0,465.0,46.77481949329376
13,106.jpg,1280,720,1002,stillage_close,903.0,317.0,1032.0,476.0,49.40236508846283
14,106.jpg,1280,720,1013,l_klt_8210,492.0,452.0,596.0,486.0,49.782365560531616
15,106.jpg,1280,720,1011,l_klt_4147,450.0,404.0,486.0,432.0,50.73603391647339
16,106.jpg,1280,720,1011,l_klt_4147,487.0,411.0,589.0,440.0,56.48776292800903
17,106.jpg,1280,720,1012,l_klt_6147,486.0,453.0,595.0,486.0,56.51746988296509
18,106.jpg,1280,720,1012,l_klt_6147,451.0,427.0,485.0,454.0,59.312015771865845
19,106.jpg,1280,720,1011,l_klt_4147,487.0,366.0,562.0,395.0,63.9204740524292
20,106.jpg,1280,720,1011,l_klt_4147,487.0,432.0,595.0,464.0,67.8705096244812
21,106.jpg,1280,720,1013,l_klt_8210,260.0,360.0,320.0,395.0,72.6405143737793
22,106.jpg,1280,720,1012,l_klt_6147,451.0,449.0,491.0,478.0,73.83303642272949
23,106.jpg,1280,720,1013,l_klt_8210,453.0,472.0,596.0,518.0,84.21705365180969
24,106.jpg,1280,720,1013,l_klt_8210,254.0,437.0,323.0,477.0,84.99548435211182
25,106.jpg,1280,720,1011,l_klt_4147,487.0,390.0,564.0,417.0,86.22536063194275
26,106.jpg,1280,720,1013,l_klt_8210,94.0,400.0,244.0,442.0,91.35804772377014
27,106.jpg,1280,720,1013,l_klt_8210,260.0,385.0,320.0,422.0,91.72029495239258
28,106.jpg,1280,720,1013,l_klt_8210,261.0,411.0,321.0,447.0,92.104172706604
29,106.jpg,1280,720,1013,l_klt_8210,94.0,429.0,244.0,470.0,93.8969373703003
30,106.jpg,1280,720,1013,l_klt_8210,95.0,456.0,244.0,502.0,95.01073360443115
31,106.jpg,1280,720,1013,l_klt_8210,92.0,368.0,244.0,413.0,95.80139517784119
32,107.jpg,1280,720,1011,l_klt_4147,83.0,688.0,151.0,720.0,71.00682854652405
33,107.jpg,1280,720,1011,l_klt_4147,290.0,631.0,361.0,711.0,93.03678274154663
34,107.jpg,1280,720,1011,l_klt_4147,79.0,609.0,216.0,706.0,93.64746809005737
35,107.jpg,1280,720,1011,l_klt_4147,164.0,569.0,294.0,630.0,94.88075971603394
36,107.jpg,1280,720,1011,l_klt_4147,147.0,625.0,290.0,720.0,96.56386375427246
37,107.jpg,1280,720,1011,l_klt_4147,230.0,583.0,359.0,673.0,96.83758616447449
38,108.jpg,1280,720,1013,l_klt_8210,762.0,419.0,917.0,463.0,53.255897760391235
39,108.jpg,1280,720,1012,l_klt_6147,830.0,390.0,899.0,418.0,57.766193151474
40,108.jpg,1280,720,1012,l_klt_6147,763.0,391.0,831.0,420.0,69.77813839912415
